timeframe,group,segment,category,year,metric,value
full-year,fish,all,all,2010,participants,161429
full-year,fish,all,all,2011,participants,156011
full-year,fish,all,all,2012,participants,175515
full-year,fish,all,all,2013,participants,169158
full-year,fish,all,all,2014,participants,167281
full-year,fish,all,all,2015,participants,169157
full-year,fish,all,all,2016,participants,173203
full-year,fish,all,all,2017,participants,167032
full-year,fish,all,all,2018,participants,150338
full-year,fish,residency,Non-resident,2010,participants,22262
full-year,fish,residency,Resident,2010,participants,139167
full-year,fish,residency,Non-resident,2011,participants,20887
full-year,fish,residency,Resident,2011,participants,135124
full-year,fish,residency,Non-resident,2012,participants,23207
full-year,fish,residency,Resident,2012,participants,152308
full-year,fish,residency,Non-resident,2013,participants,22972
full-year,fish,residency,Resident,2013,participants,146186
full-year,fish,residency,Non-resident,2014,participants,23914
full-year,fish,residency,Resident,2014,participants,143367
full-year,fish,residency,Non-resident,2015,participants,24905
full-year,fish,residency,Resident,2015,participants,144252
full-year,fish,residency,Non-resident,2016,participants,25854
full-year,fish,residency,Resident,2016,participants,147349
full-year,fish,residency,Non-resident,2017,participants,25944
full-year,fish,residency,Resident,2017,participants,141088
full-year,fish,residency,Non-resident,2018,participants,23862
full-year,fish,residency,Resident,2018,participants,126476
full-year,fish,age,18-24,2010,participants,23636
full-year,fish,age,25-34,2010,participants,37821
full-year,fish,age,35-44,2010,participants,35283
full-year,fish,age,45-54,2010,participants,37136
full-year,fish,age,55-64,2010,participants,27619
full-year,fish,age,18-24,2011,participants,22564
full-year,fish,age,25-34,2011,participants,37095
full-year,fish,age,35-44,2011,participants,33665
full-year,fish,age,45-54,2011,participants,35178
full-year,fish,age,55-64,2011,participants,27575
full-year,fish,age,18-24,2012,participants,26728
full-year,fish,age,25-34,2012,participants,42983
full-year,fish,age,35-44,2012,participants,37800
full-year,fish,age,45-54,2012,participants,37652
full-year,fish,age,55-64,2012,participants,30422
full-year,fish,age,18-24,2013,participants,26594
full-year,fish,age,25-34,2013,participants,41219
full-year,fish,age,35-44,2013,participants,36426
full-year,fish,age,45-54,2013,participants,35257
