timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,all,all,2009,participants,233378,OR,Northwest,NONE,NA
full-year,hunt,all,all,2010,participants,216348,OR,Northwest,NONE,NA
full-year,hunt,all,all,2011,participants,212024,OR,Northwest,NONE,NA
full-year,hunt,all,all,2012,participants,208213,OR,Northwest,NONE,NA
full-year,hunt,all,all,2013,participants,210407,OR,Northwest,NONE,NA
full-year,hunt,all,all,2014,participants,210041,OR,Northwest,NONE,NA
full-year,hunt,all,all,2015,participants,210235,OR,Northwest,NONE,NA
full-year,hunt,all,all,2016,participants,210216,OR,Northwest,NONE,NA
full-year,hunt,all,all,2017,participants,204500,OR,Northwest,NONE,NA
full-year,hunt,all,all,2018,participants,200378,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2009,participants,214782,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2010,participants,202957,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2011,participants,198869,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2012,participants,195409,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2013,participants,197469,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2014,participants,196739,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2015,participants,196479,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2016,participants,196276,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2017,participants,190753,OR,Northwest,NONE,NA
full-year,hunt,residency,resident,2018,participants,187051,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2009,participants,18596,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2010,participants,13391,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2011,participants,13155,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2012,participants,12804,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2013,participants,12938,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2014,participants,13302,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2015,participants,13756,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2016,participants,13940,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2017,participants,13747,OR,Northwest,NONE,NA
full-year,hunt,residency,nonresident,2018,participants,13327,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2009,participants,200541,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2010,participants,186312,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2011,participants,182015,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2012,participants,177809,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2013,participants,177974,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2014,participants,176070,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2015,participants,174827,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2016,participants,173539,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2017,participants,168351,OR,Northwest,NONE,NA
full-year,hunt,gender,male,2018,participants,164862,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2009,participants,32837,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2010,participants,30036,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2011,participants,30009,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2012,participants,30404,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2013,participants,32433,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2014,participants,33971,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2015,participants,35408,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2016,participants,36677,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2017,participants,36149,OR,Northwest,NONE,NA
full-year,hunt,gender,female,2018,participants,35516,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2009,participants,25571,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2010,participants,23317,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2011,participants,22370,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2012,participants,22352,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2013,participants,23278,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2014,participants,23370,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2015,participants,23248,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2016,participants,23793,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2017,participants,22774,OR,Northwest,NONE,NA
full-year,hunt,age,18-24,2018,participants,21828,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2009,participants,46792,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2010,participants,43520,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2011,participants,43028,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2012,participants,42657,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2013,participants,43807,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2014,participants,44473,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2015,participants,45121,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2016,participants,45027,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2017,participants,44165,OR,Northwest,NONE,NA
full-year,hunt,age,25-34,2018,participants,42954,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2009,participants,51400,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2010,participants,46815,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2011,participants,45499,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2012,participants,44835,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2013,participants,45671,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2014,participants,45734,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2015,participants,46143,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2016,participants,46482,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2017,participants,45752,OR,Northwest,NONE,NA
full-year,hunt,age,35-44,2018,participants,46059,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2009,participants,58313,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2010,participants,53168,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2011,participants,51242,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2012,participants,49395,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2013,participants,48610,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2014,participants,47917,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2015,participants,47442,OR,Northwest,NONE,NA
full-year,hunt,age,45-54,2016,participants,46956,OR,Northwest,NONE,NA
